utterance,intentions
id like to find a moderately priced chinese,informfoodpricerangeareaname
can you give me the address phone number and area,informaddressnamephonepostcode
thank you very much for the address of the golden,bye
i am looking for a local restaurant in the south that offers modern european,informchoicename
,requestday
two people at 1115 for 2,requestday
tuesday,bookreference
no thank,bye
hello i am looking for places to go in the centre of town can you help me with,requesttype
id like to go to a,informnamearea
yes i just need to get the address and postcode for the,informnameaddresspostcode
yes id like to stay at an expensive 4 star hotel with free parking and,informchoicenamearea
the huntingdon marriot hotel sounds great could you please give me the,informpostcode
can i get a taxi to take me between the two,requestleaveat
i want to leave the theater by,informphonecar
not at,welcome
thank you,bye
can you find a moderately priced restaurant in the east,requestfood
i would like the one with the italian food can you see if i can book a table for 7 people at 1430 on tuesday there,requesttime
how about either of the indian restaurants in the same area and price,informchoiceaddress
i would like to try the restaurant at 451 newmarket road fen ditton since its close by can you try a booking,bookreference
that is all for today thank,bye
hi i would like help finding an indian restaurant to eat,requestarea
east or,requestpricerange
i am looking for something expensive if the taj is expensive i would like to make a reservation there for 8 people on thursday at,bookreferencenamepeople
yes could you also find me information on things to do in town that involve,requestarea
i would like the college to be somewhere near the restaurant you booked for me can you also give me a postcode for the,informpostcodechoiceareanametype
no that was everything thank,bye
im looking for someplace to get british cuisine in the center of,informpricerangechoice
could you try an italian place,recommendname
yes that would be great could you please book a table for 5 people at 1645 on,bookreference
thank you i also need a train from stansted airport to cambridge that will arrive by,requestday
saturday i would like to arrive by,offerbookpeople
yes please make a reservation for 5 people and give the phone,offerbookpeoplereference
that is all i need thank you for your,bye
i want to find a place to stay in the north that doesnt need to have free,informareanameinternettype
yes if i can get into a hotel in the north that would be,booknamereference
thanks thats all i need have a nice,bye
hi im looking to find a moderate priced place to eat serving italian,requestarea
it doesnt really matter just someplace really good  ill need a,requestdaytimepeople
wednesday at 1945 the table is only for,bookreference
im also looking for a guesthouse with free,requestarea
price doesnt matter  just something with the free parking  wifi is great but not,recommendparkingtypeinternetareaname
